City name,Url
Fürstenfeldbruck,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Fürstenfeldbruck
Garmisch-Partenkirchen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Garmisch-Partenkirchen
Landsberg am Lech,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Landsberg_a.Lech
Miesbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Miesbach
Mühldorf a. Inn,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Mühldorf_a.Inn
München,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_München
Neuburg-Schrobenhausen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neuburg-Schrobenhausen
Pfaffenhofen a.d. Ilm,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Pfaffenhofen_a.d.Ilm
Rosenheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rosenheim
Starnberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Starnberg
Traunstein,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Traunstein
Weilheim-Schongau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Weilheim-Schongau
Landshut,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Landshut
Passau,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Passau
Straubing,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Straubing
Deggendorf,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Deggendorf
Freyung-Grafenau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Freyung-Grafenau
Kelheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kelheim
Landshut,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Landshut
Passau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Passau
Regen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Regen
Rottal-Inn,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rottal-Inn
Straubing-Bogen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Straubing-Bogen
Dingolfing-Landau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Dingolfing-Landau
Amberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Amberg
Regensburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Regensburg
Weiden i.d. OPf.,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Weiden_i.d.OPf.
Amberg-Sulzbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Amberg-Sulzbach
Cham,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Cham
Neumarkt i.d. OPf.,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neumarkt_i.d.OPf.
Neustadt a.d. Waldnaab,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neustadt_a.d.Waldnaab
Regensburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Regensburg
Schwandorf,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Schwandorf
Tirschenreuth,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Tirschenreuth
Bamberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bamberg
Bayreuth,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bayreuth
Coburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Coburg
Hof,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Hof
Bamberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bamberg
Bayreuth,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bayreuth
Coburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Coburg
Forchheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Forchheim
Hof,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Hof
Kronach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kronach
Kulmbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kulmbach
Lichtenfels,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Lichtenfels
Wunsiedel i. Fichtelgebirge,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Wunsiedel_i.Fichtelgebirge
Ansbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Ansbach
Erlangen,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Erlangen
Fürth,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Fürth
Nürnberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Nürnberg
Schwabach,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Schwabach
Ansbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ansbach
Erlangen-Höchstadt,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Erlangen-Höchstadt
Fürth,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Fürth
Nürnberger Land,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Nürnberger_Land
Neustadt a.d. Aisch-Bad Windsheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neustadt_a.d.Aisch-Bad_Windsheim
Roth,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Roth
Weißenburg-Gunzenhausen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Weißenburg-Gunzenhausen
